frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
3.942857142857157271e+01,7.999055335853367410e+01,0.000000000000000000e+00,3.630198972243949274e-01
3.971428571428585741e+01,8.000655145073322672e+01,0.000000000000000000e+00,3.237675484680069271e-01
4.000000000000014211e+01,8.000964500537286028e+01,0.000000000000000000e+00,4.559589008382014530e-01
4.028571428571443391e+01,7.988335881494158741e+01,0.000000000000000000e+00,3.896651546057120497e-01
4.057142857142871861e+01,7.977631937241940818e+01,0.000000000000000000e+00,3.692217812799720167e-01
4.085714285714300331e+01,8.192717925862770301e+01,0.000000000000000000e+00,5.098346159291072821e-01
4.114285714285729512e+01,8.841279501150107478e+01,0.000000000000000000e+00,3.670485467479096542e-01
4.142857142857157982e+01,9.050421192511288382e+01,0.000000000000000000e+00,3.684151030058236964e-01
4.171428571428586451e+01,8.995630287017795013e+01,0.000000000000000000e+00,4.113334816325260879e-01
4.200000000000014921e+01,8.933785236004985109e+01,0.000000000000000000e+00,3.905759559956377691e-01
4.228571428571444102e+01,8.980074562057592402e+01,0.000000000000000000e+00,3.887282035572143801e-01
4.257142857142872572e+01,9.008873601751905369e+01,0.000000000000000000e+00,3.744156192701730834e-01
4.285714285714301042e+01,8.989209233095792229e+01,0.000000000000000000e+00,4.298011572796295865e-01
4.314285714285730222e+01,8.916177265583789335e+01,0.000000000000000000e+00,4.384360084129284019e-01
4.342857142857158692e+01,8.875591926817496358e+01,0.000000000000000000e+00,3.640422161022603964e-01
4.371428571428587162e+01,8.810789449785055183e+01,0.000000000000000000e+00,4.446701956883615803e-01
4.400000000000016342e+01,8.798199594931236334e+01,0.000000000000000000e+00,4.842905859834171212e-01
4.428571428571444812e+01,8.820511815733671313e+01,0.000000000000000000e+00,5.002399279030558255e-01
4.457142857142873282e+01,8.787233124990915201e+01,0.000000000000000000e+00,4.765834820795744053e-01
4.485714285714301752e+01,8.444848243432907964e+01,0.000000000000000000e+00,5.697415021126414070e-01
