frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
4.085714285714300331e+01,8.186868749007730628e+01,0.000000000000000000e+00,5.056062028307704015e-01
4.114285714285729512e+01,8.838455694061853762e+01,0.000000000000000000e+00,3.569873515142715781e-01
4.142857142857157982e+01,9.050044811300509195e+01,0.000000000000000000e+00,3.673691124412739595e-01
4.171428571428586451e+01,8.995147044806856229e+01,0.000000000000000000e+00,4.053122725827446593e-01
4.200000000000014921e+01,8.933510159032951492e+01,0.000000000000000000e+00,3.917087198167072404e-01
4.228571428571444102e+01,8.980193384435013115e+01,0.000000000000000000e+00,3.883443791797595024e-01
4.257142857142872572e+01,9.008994153526298021e+01,0.000000000000000000e+00,3.740204744235378631e-01
4.285714285714301042e+01,8.989230226728423645e+01,0.000000000000000000e+00,4.332395426812611361e-01
4.314285714285730222e+01,8.916386400535961343e+01,0.000000000000000000e+00,4.254007846551808858e-01
4.342857142857158692e+01,8.876076058869868746e+01,0.000000000000000000e+00,3.711536539316168115e-01
4.371428571428587162e+01,8.810898012039878324e+01,0.000000000000000000e+00,4.361590668044724728e-01
4.400000000000016342e+01,8.798162718891452982e+01,0.000000000000000000e+00,4.631949750002567479e-01
4.428571428571444812e+01,8.820514486877225124e+01,0.000000000000000000e+00,5.004744417391405742e-01
4.457142857142873282e+01,8.787328400832596742e+01,0.000000000000000000e+00,4.803595038214051871e-01
4.485714285714301752e+01,8.444777612795775212e+01,0.000000000000000000e+00,5.979278882398009198e-01
4.514285714285730933e+01,7.812395962558996132e+01,0.000000000000000000e+00,3.397395642161761264e-01
4.542857142857159403e+01,7.320103619482053148e+01,0.000000000000000000e+00,3.660019682421071785e-01
4.571428571428587873e+01,7.167033016272046098e+01,0.000000000000000000e+00,3.600444512330119862e-01
4.600000000000017053e+01,7.323075573480764433e+01,0.000000000000000000e+00,4.266957202345174061e-01
4.628571428571445523e+01,7.707650639224175393e+01,0.000000000000000000e+00,4.267039273771102703e-01
4.657142857142873993e+01,7.984181486243514314e+01,0.000000000000000000e+00,4.115553721424691780e-01
4.685714285714302463e+01,8.148120338521313499e+01,0.000000000000000000e+00,4.305319146461986102e-01
4.714285714285731643e+01,8.202823138611348952e+01,0.000000000000000000e+00,5.031845754248995828e-01
4.742857142857160113e+01,8.215422325773623413e+01,0.000000000000000000e+00,4.950372548803800843e-01
4.771428571428588583e+01,8.230901685446423244e+01,0.000000000000000000e+00,3.739369687351142835e-01
4.800000000000017764e+01,8.140911141849258570e+01,0.000000000000000000e+00,4.869760896535547667e-01
4.828571428571446233e+01,7.831589350439625719e+01,0.000000000000000000e+00,4.145875986506324384e-01
4.857142857142874703e+01,7.576023693464105691e+01,0.000000000000000000e+00,3.621920309188475517e-01
4.885714285714303173e+01,7.487151672413857284e+01,0.000000000000000000e+00,3.406001174980384238e-01
4.914285714285732354e+01,7.345792787566367110e+01,0.000000000000000000e+00,3.582299019232239035e-01
4.942857142857160824e+01,6.869177736506989618e+01,0.000000000000000000e+00,3.985115362851953114e-01
4.971428571428589294e+01,6.533616671695652656e+01,0.000000000000000000e+00,4.218929043380694188e-01
